"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
13,"NCT01351753","Drug Therapy Induced Weight Loss to Improve Blood Vessel Function in Subjects With Obesity","REVIVE","Suspended","No Results Available","Obesity|Metabolic Syndrome X","Drug: Metformin|Drug: Orlistat|Drug: Topiramate|Drug: Placebo","Weight (change from baseline)|Brachial artery flow mediated dilatation (change from baseline)|Number of subjects with mild, moderate and serious adverse events.|Systolic and diastolic systemic arterial pressure (change from baseline)|Fasting lipids, glucose and other biomarkers of obesity risk (change from baseline)|Mood, anxiety, quality of life and cognitive function (change from baseline)|Body fat distribution (change from baseline)|Pulse wave velocity (PWV) and aortic augmentation pressure (change from baseline)|Peripheral arteriolar tonometry","University of Iowa","All","40 Years to 75 Years   (Adult, Older Adult)","Phase 2","136","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","201012738","March 2011","October 2019","October 2020","May 11, 2011",,"January 23, 2020","University of Iowa Hospitals and Clinics, Iowa City, Iowa, United States",,"https://ClinicalTrials.gov/show/NCT01351753"
14,"NCT02517697","Oral Nitrite Trial for Hypertension and Metabolic Syndrome","ONPC","Not yet recruiting","No Results Available","Metabolic Syndrome|Hypertension","Drug: 14 Nitrogen (N) Sodium Nitrite|Drug: Placebo","Change in insulin sensitivity (i.e. insulin stimulated glucose disposal)|Change in systolic blood pressure|Change in mean arterial pressure|Change in diastolic blood pressure|Change in methemoglobin level","Gladwin, Mark, MD|University of Pittsburgh","All","18 Years to 60 Years   (Adult)","Phase 2","40","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","PRO15050540","March 2020","July 2024","July 2024","August 7, 2015",,"December 17, 2019","Montefiore Hospital of UPMC, Pittsburgh, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT02517697"
15,"NCT01499134","Comparison of 2 Beta Blocker Drugs on Peripheral Arterial Disease in Patients With High Blood Pressure","ENCOMPASS","Completed","Has Results","Peripheral Artery Disease|Hypertension","Drug: nebivolol|Drug: Metoprolol succinate","Peak Walking Time (PWT)|Ankle-brachial Index (ABI)|Claudication Onset Time (COT)|Walking Impairment Questionnaire (WIQ) - Change Calf Pain|Walking Impairment Questionnaire (WIQ) - Change in Buttock Pain|Walking Impairment Questionnaire (WIQ) - Change in WIQ Distance Score|Walking Impairment Questionnaire (WIQ) - Change in WIQ Speed Score|Walking Impairment Questionnaire (WIQ) - Change in WIQ Stairs Score","Thomas Jefferson University|Forest Laboratories","All","18 Years and older   (Adult, Older Adult)","Phase 3","17","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","11C.18","August 2011","June 2014","June 2014","December 26, 2011","December 3, 2014","December 17, 2014","Thomas Jefferson University, Philadelphia, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT01499134"
16,"NCT03122730","VentaProst Versus Conventionally-Administered Aerosolized Epoprostenol in Patients Undergoing Cardiac Surgery With CPB",,"Completed","No Results Available","Pulmonary Hypertension","Combination Product: VentaProst","Determination of the equivalent dose of VentaProst necessary to achieve a pharmacodynamic response that is comparable to Standard of Care|Treatment-Emergent Adverse Events (TEAEs)|Effects on pulmonary vascular resistance|Effects on oxygenation status|Effects on fraction of inspired oxygen (FiO2)|Effects on cardiovascular medication usage","Aerogen Pharma Limited","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 2","15","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","APC-VP-CLN-001","August 23, 2017","March 1, 2019","May 30, 2019","April 21, 2017",,"May 31, 2019","Stanford University Medical Center, Stanford, California, United States|Rush University Medical Center, Chicago, Illinois, United States|Tufts Medical Center, Boston, Massachusetts, United States",,"https://ClinicalTrials.gov/show/NCT03122730"
17,"NCT01432106","The Study of Novel Dual Renin Angiotensin Aldosterone System (RAAS) Blockade; Valsartan/Aliskiren in African American Patients With Hypertension and the Metabolic Syndrome","SAAVE","Withdrawn","No Results Available","Hypertension|Metabolic Syndrome","Drug: Aliskerin/Valsartan and Rampiril","Mean Change in SBP from baseline to 10 weeks (2 weeks on initial dose & 6 weeks on higher dose)","University of Michigan|Novartis Pharmaceuticals","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 1","0","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","SPP100AUS20T","February 2011","December 2012","December 2012","September 12, 2011",,"November 18, 2013","University of Michigan Health System, Ann Arbor, Michigan, United States",,"https://ClinicalTrials.gov/show/NCT01432106"
18,"NCT01468571","Effects of Spironolactone on Collagen Metabolism in Patients With Pulmonary Arterial Hypertension",,"Unknown status","No Results Available","Pulmonary Hypertension","Drug: Spironolactone|Drug: Placebo","Change in biomarker levels in the spironolactone treated as compared to placebo treated group.|Number of adverse events in patients treated with spironolactone as compared to placebo.|Change in six-minute walk distance from baseline to week 8 and week 16.|Composite end-point","Baylor College of Medicine|National Heart, Lung, and Blood Institute (NHLBI)","All","18 Years and older   (Adult, Older Adult)","Phase 4","50","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","H24178|K23HL093214","July 2011","July 2015","December 2015","November 9, 2011",,"May 8, 2015","Baylor College of Medicine, Houston, Texas, United States",,"https://ClinicalTrials.gov/show/NCT01468571"
19,"NCT01065350","A Comparison of Ketofol (Ketamine and Propofol Admixture) Versus Propofol as Induction Agents on Hemodynamic Parameters",,"Completed","Has Results","Blood Pressure","Drug: Propofol|Drug: Ketamine","Percent of Subjects With a Greater Than 20% Decrease in Systolic Blood Pressure (SBP) Following Induction of General Anesthesia|Percent of Subjects With a Greater Than 20% Decrease in Diastolic Blood Pressure (DBP) Following Induction of General Anesthesia|Percent of Subjects With a Greater Than 20% Decrease in Mean Arterial Pressure (MAP) Following Induction of General Anesthesia|Average Change in Cardiac Output (CO)|Average Change in Cardiac Index (CI)|Average Change in Heart Rate (HR)|Average Change in Systolic Blood Pressure (SBP)|Average Change in Diastolic Blood Pressure (DBP)|Average Change in Mean Arterial Pressure (MAP)|Average Change in Total Peripheral Resistance (TPR)|Average Change in Total Peripheral Resistance Index (TPRI)|Average Change in Stroke Volume (SV)|Average Change in Stroke Volume Index (SVI)|Average Change in Stroke Volume Variation (SVV)","Mayo Clinic|Dartmouth-Hitchcock Medical Center","All","18 Years to 60 Years   (Adult)","Not Applicable","85","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention","22063","December 2010","March 2011","March 2011","February 9, 2010","May 3, 2013","May 3, 2013","Dartmouth Hitchcock Medical Center, Lebanon, New Hampshire, United States",,"https://ClinicalTrials.gov/show/NCT01065350"
20,"NCT01206062","Systolic Blood Pressure Intervention Trial","SPRINT","Active, not recruiting","Has Results","Hypertension","Drug: Intensive control of SBP|Drug: Standard control of SBP","Number of Participants With First Occurrence of a Myocardial Infarction (MI), Acute Coronary Syndrome (ACS), Stroke, Heart Failure (HF), or CVD Death|Number of Participants With All-cause Mortality|Number of CKD Participants Who Experienced a 50% Decline From Baseline eGFR|Participants Who Developed End Stage Renal Disease|Dementia|Decline in Cognitive Function|Small Vessel Cerebral Ischemic Disease","National Heart, Lung, and Blood Institute (NHLBI)|National Institute on Aging (NIA)|National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)|National Institute of Neurological Disorders and Stroke (NINDS)|Wake Forest University Health Sciences","All","50 Years and older   (Adult, Older Adult)","Not Applicable","9361","NIH|Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","SPRINT|268200900040C-1-0-1","October 2010","July 2016","November 2018","September 21, 2010","December 4, 2017","October 18, 2018","Wake Forest University School of Medicine, Winston-Salem, North Carolina, United States","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/62/NCT01206062/Prot_000.pdf|""Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/62/NCT01206062/ICF_001.pdf","https://ClinicalTrials.gov/show/NCT01206062"
21,"NCT03640312","Efficacy and Safety of a Quadruple Ultra-low-dose Treatment for Hypertension","QUARTET USA","Recruiting","No Results Available","Hypertension","Drug: QUARTET LDQT|Drug: Candesartan","Change in Mean Systolic Blood Pressure|Mean Systolic Blood Pressure|Mean 24-Hour Blood Pressure|Mean Daytime Blood Pressure|Mean Nighttime Blood Pressure|Proportion of dippers|Change in Mean Diastolic Blood Pressure|Mean Diastolic Blood Pressure|Proportion of patients with hypertension control|Proportion of patients requiring step up treatment|Proportion of patients with adverse event free hypertension control|Medication Adherence|Health-related quality of life","Northwestern University|ACCESS Community Health Network|University of Sydney","All","18 Years and older   (Adult, Older Adult)","Phase 2","365","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","STU00205834","August 30, 2019","November 30, 2021","December 30, 2021","August 21, 2018",,"September 3, 2019","ACCESS Martin T. Russo Family Health Center, Bloomingdale, Illinois, United States",,"https://ClinicalTrials.gov/show/NCT03640312"
22,"NCT01120613","Post Kidney Transplant Nocturnal Hypertension Prevalence and Management Study",,"Withdrawn","No Results Available","Hypertension","Drug: Chronotherapy","Percent drop in mean SBP at night time compared to mean SBP at day time|Urine Microalbumin to creatinine ratio|Change in Glomerular filtration rate as measured by MDRD equation.|24 hour mean systolic Blood Pressure (SBP) Control","Northwell Health","All","18 Years to 70 Years   (Adult, Older Adult)","Not Applicable","0","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","10-015A","April 2010","August 2010",,"May 11, 2010",,"May 30, 2013","North Shore Long Island Jewish Hospital, Great Neck, New York, United States",,"https://ClinicalTrials.gov/show/NCT01120613"
23,"NCT01403922","To Determine Blood Pressure Interaction Between TC-5214 and Anti-Hypertensive Medications (Calcium Channel Blockers, Beta Blockers, and ACE Inhibitors) in Patients With Chronic Hypertension",,"Terminated","No Results Available","Chronic Hypertension","Drug: TC-5214","Part 1: To measure the effect of TC-5214 on sitting blood pressure in patients with chronic hypertension.|Part 2: To measure the effect of TC-5214 combined with treatment with the common classes of anti-hypertensive medication (calcium channel blockers, beta blockers, angiotensin converting enzyme inhibitors) on sitting blood pressure.|To examine the safety and tolerability of TC-5214.|The concentration of TC-5214 in plasma will be measured.","AstraZeneca","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 1","80","Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Basic Science","D4130C00010","August 2011","August 2012","August 2012","July 27, 2011",,"October 2, 2012","Research Site, Overland Park, Kansas, United States|Research Site, Willingboro, New Jersey, United States|Research Site, Berlin, Germany|Research Site, London, United Kingdom",,"https://ClinicalTrials.gov/show/NCT01403922"
24,"NCT00986986","Study of Niacin on Endothelial Function in HIV-infected Subjects With Low High Density Lipoprotein Cholesterol Levels",,"Completed","Has Results","HIV Infections|Dyslipidemia|Endothelial Dysfunction","Drug: extended release niacin","Change in Flow-mediated Vasodilation (FMD) From Baseline to Study Week 12|Flow Mediated Vasodilation|High-density Lipoprotein Cholesterol (HDL) Change From Baseline to Study Week 12|HDL","University of Hawaii|United States Department of Defense","All","18 Years and older   (Adult, Older Adult)","Not Applicable","20","Other|U.S. Fed","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ENDO|Department of Defense","November 2007","April 2010","April 2010","September 30, 2009","December 18, 2012","December 18, 2012","University of Hawaii - Hawaii Center for AIDS, Honolulu, Hawaii, United States",,"https://ClinicalTrials.gov/show/NCT00986986"
25,"NCT01979601","Safety, Tolerability, PK and PD of LGT209 in Healthy Volunteers and Patients With Hypercholesterolemia",,"Completed","No Results Available","Hypercholesterolemia","Drug: LGT209|Drug: Placebo","Number of patients with adverse events, serious adverse events and death|Change from baseline in low density lipoprotein-cholesterol (LDL-C) concentration in healthy volunteers|Change from baseline in proprotein convertase subtilisin/kexin type 9 (PCSK9) in healthy volunteers|Pharmacokinetics of LGT209: : Area under the serum concentration-time curve from time zero to infinity (AUC0-inf) of LGT209 in patients and healthy volunteers following intravenous administration|Pharmacokinetics of LGT209: observed maximum serum concentrations (Cmax) of LGT209 in patients and healthy volunteers following intravenous administration|Pharmacokinetics of LGT209: Area under the serum concentration-time curve from time zero to the time of the last quantifiable concentration (AUC0-last) of LGT209 in patients and healthy volunteers following intravenous administration|Pharmacokinetics of LGT209: Elimination half-life associated with the terminal slope of a semi-logarithmic concentration-time curve (T1/2) of LGT209 in patients and healthy volunteers following intravenous administration|Number of healthy volunteers with adverse events, serious adverse events and death|Pharmacokinetics of intravenous LGT209 in relationship to concentrations of PCSK9 and LDL-C in patients and healthy volunteers|Change from baseline in low density lipoprotein-cholesterol (LDL-C) concentration in patients|Change from baseline in proprotein convertase subtilisin/kexin type 9 (PCSK9) in patients|Pharmacokinetics of LGT209: Area under the serum concentration-time curve from time zero to time 't' (AUC0-t)|Pharmacokinetics of LGT209: Dose-normalized area under the serum concentration-time curve (AUC/D) of LGT209 in patients and healthy volunteers following intravenous administration|Pharmacokinetics of LGT209: Dose-normalized maximum serum concentrations (Cmax/D) of LGT209 in patients and healthy volunteers following intravenous administration|Pharmacokinetics of LGT209: Volume of distribution during the terminal elimination phase (Vz) of LGT209 in patients and healthy volunteers following intravenous administration|Pharmacokinetics of LGT209: Volume of distribution at steady state (Vss) of LGT209 in patients and healthy volunteers following intravenous administration|Pharmacokinetics of LGT209: Mean residence time (MRT) of LGT209 in patients and healthy volunteers following intravenous administration|Pharmacokinetics of LGT209: the systemic (or total body) clearance from serum following intravenous administration","Novartis Pharmaceuticals|Novartis","All","18 Years to 70 Years   (Adult, Older Adult)","Phase 1","74","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","CLGT209X2101","December 2010","November 2011","November 2011","November 8, 2013",,"December 10, 2013","Novartis Investigative Site, Miami Gardens, Florida, United States|Novartis Investigative Site, Fargo, North Dakota, United States",,"https://ClinicalTrials.gov/show/NCT01979601"
26,"NCT03814317","Inhaled Treprostinil in Sarcoidosis Patients With Pulmonary Hypertension","SAPPHIRE","Recruiting","No Results Available","Sarcoidosis|Precapillary Pulmonary Hypertension|Interstitial Lung Disease","Drug: Inhaled Treprostinil","PVR by Right heart catheterization (RHC)|mPAP by Right heart catheterization (RHC)|Change in 6-Minute Walk Test (6MWT)|Change in Cardiac MRI parameters|Change in Pulmonary Function Testing|Change in Brain Natriuretic Peptide (BNP)|Change in WHO Functional Class (WHO FC)","University of Florida|United Therapeutics","All","18 Years to 99 Years   (Adult, Older Adult)","Phase 2","10","Other|Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","OCR19684|20192572","January 30, 2020","September 2020","March 2021","January 24, 2019",,"February 13, 2020","University of Florida, Division of Pulmonary and Critical Care Medicine, Gainesville, Florida, United States",,"https://ClinicalTrials.gov/show/NCT03814317"
27,"NCT01959971","Effect of Alirocumab on Lipid Metabolism in Adults With Elevated LDL-Cholesterol",,"Completed","No Results Available","Hypercholesterolemia","Drug: alirocumab|Drug: Placebo","Percent change in Fractional Clearance Rate of apolipoprotein B (apoB) in Low Density Lipoproteins (pools/day) in plasma during alirocumab treatment|Change in lipids turnover parameters measured in isolated Very Low Density Lipoproteins (VLDL), Intermediate Density Lipoproteins (IDL), Low Density Lipoproteins (LDL) and High Density Lipoproteins (HDL)|Change in post-heparin hepatic lipase and lipoprotein lipase activities|Change in lipids and apolipoproteins in plasma lipids panel|Assessment of Lipoprotein particle size profiles|Assessment of serum concentrations of PCSK9|Assessment of safety parameters (clinical laboratory, ECG, vital signs)|Assessment of the serum concentration of alirocumab|Assessment of the serum concentration of anti-alirocumab antibodies","Sanofi|Regeneron Pharmaceuticals","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 1","20","Industry","Interventional","Intervention Model: Crossover Assignment|Masking: Single (Participant)|Primary Purpose: Basic Science","PDY13670|U1111-1141-4567","December 2013","May 2015","May 2015","October 10, 2013",,"May 2, 2017","Investigational Site Number 840001, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT01959971"
