"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
11,"NCT02366091","Inflammation and Coronary Endothelial Function",,"Active, not recruiting","No Results Available","Coronary Artery Disease","Drug: Methotrexate|Drug: Colchicine|Drug: Placebo","Coronary segment endothelial function, measured by MRI as the change in coronary cross sectional area (CSA) from rest to that during isometric handgrip exercise (IHE) (as % rest and as mm2).|Change in coronary segment endothelial function, measured by MRI as the change in coronary cross sectional area (CSA) from rest to that during isometric handgrip exercise (IHE) (as % rest and as mm2).|Change in coronary blood velocity (CBV), measured by MRI as the change in CBV from rest to IHE stress (as cm/s and as % rest).|Change in coronary blood flow (CBF), measured by MRI as the change from rest to IHE stress (as cm/s and as % rest).|Serum high-sensitivity C reactive protein (hs-CRP), measured by laboratory assessment as the change in hs-CRP between baseline and 8 and 24 weeks.|Serum interleukin-6 (IL-6), measured by laboratory assessment as the change in IL-6 between baseline and 8 and 24 weeks..|Brachial flow mediated dilation (FMD), measured by ultrasound as the change in brachial FMD between baseline and 8 and 24 weeks.|Safety as determined by physical exam and monitoring laboratory values. Measured by assessment for side-effects and laboratory assessment including complete metabolic panel, liver function tests, and complete blood count.","Johns Hopkins University|National Heart, Lung, and Blood Institute (NHLBI)","All","21 Years and older   (Adult, Older Adult)","Phase 2","120","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Factorial Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Other","IRB00047206|R01HL120905","January 2015","August 2020","February 2021","February 19, 2015",,"September 12, 2019","Johns Hopkins Hospital, Baltimore, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT02366091"
12,"NCT01763996","The Influence of Febuxostat on Coronary Artery Endothelial Dysfunction in Participants With Chronic Stable Angina",,"Completed","Has Results","Coronary Artery Disease","Drug: Febuxostat|Drug: Febuxostat placebo","Change in Coronary Artery Flow From Rest to Isometric Handgrip (IHG) Exercise at the End of the Administration of Febuxostat and Placebo|Change in Coronary Artery Cross-Sectional Area From Rest to IHG Exercise at the End of the Administration of Febuxostat and Placebo|Change in Coronary Flow Velocity From Rest to IHG Exercise at the End of the Administration of Febuxostat and Placebo|Change in Coronary Artery Flow Following the Administration of Sublingual Nitroglycerin at the End of the Administration of Febuxostat and Placebo|Change in Coronary Artery Cross Sectional Area Following the Administration of Sublingual Nitroglycerin at the End of the Administration of Febuxostat and Placebo|Change in Coronary Flow Velocity Following the Administration of Sublingual Nitroglycerin at the End of the Administration of Febuxostat and Placebo|Change in Time to Onset of ≥1 mm ST-Segment Depression During Exercise Treadmill Test (ETT)|Change in Maximum ST-segment Depression During Exercise Treadmill Test|Percentage of Participants Stopping Exercise Treadmill Test Due to Angina at the End of the Administration of Febuxostat and Placebo|Time to Onset of Angina During Exercise Treadmill Test at the End of the Administration of Febuxostat and Placebo|Exercise Duration","Takeda","All","18 Years to 85 Years   (Adult, Older Adult)","Phase 4","30","Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","CCR-FEB-002|U1111-1136-2270","May 2013","March 2015","April 2015","January 9, 2013","April 13, 2016","April 13, 2016","Baltimore, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT01763996"
13,"NCT03939923","Role of Sugammadex as Reversal Agent in Patients Extubated Immediately After Isolated Coronary Artery Bypass Grafting Surgery",,"Active, not recruiting","No Results Available","Surgery|Coronary Artery Disease","Drug: Rocuronium|Drug: Neostigmine|Drug: Glycopyrrolate|Drug: Sugammadex","Time to Extubation|Heart rate|Blood Pressure|Tidal Volume|Peak Flow Rate|Swallowing Capacity","West Virginia University","All","18 Years to 70 Years   (Adult, Older Adult)","Phase 4","84","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Care Provider)|Primary Purpose: Treatment","WVU Protocol #: 1806161309","May 1, 2019","December 2022","December 2022","May 7, 2019",,"May 7, 2019","WVU Medicine, Morgantown, West Virginia, United States",,"https://ClinicalTrials.gov/show/NCT03939923"
14,"NCT01869309","Overcoming High On-Treatment Platelet Reactivity (HPR) During Prasugrel Therapy With Ticagrelor","HEIGHTEN","Unknown status","No Results Available","Coronary Artery Disease","Drug: Prasugrel|Drug: Ticagrelor","Pharmacodynamic (PD) Vasodilator Stimulated Phosphoprotein-Phosphorylation(VASP-P) in High On Prasugrel Platelet Reactivity(HPPR) stable CAD patients|Prevalence of HPPR|CYP2C19 relation to occurence of HPPR|PD VerifyNow in HPPR stable CAD patients|PD LTA in HPPR stable CAD patients|Frequency of HPR|PD effect(Prasugrel) relation to CYP2C19","LifeBridge Health|AstraZeneca","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 4","400","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2015|ISSBRIL0149","January 2014","December 2015","December 2016","June 5, 2013",,"November 21, 2014","Sinai Center for Thrombosis Research, Baltimore, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT01869309"
15,"NCT03680105","A Safety and Tolerability Study of RJX Drug Product in Healthy Participants",,"Completed","Has Results","Critical Limb Ischemia","Drug: RJX|Drug: Placebo","Treatment-related Adverse Events (TEAE) Reporting of RJX|Safety and Tolerability of RJX as Assessed by Electrocardiograms (ECGs).|Safety and Tolerability of RJX as Assessed by Neurological Examinations.","Reven Pharmaceuticals, Inc.|ICON plc|ERT: Clinical Trial Technology Solutions","All","18 Years to 70 Years   (Adult, Older Adult)","Phase 1","76","Industry|Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Basic Science","RPI003","August 24, 2018","January 15, 2019","January 15, 2019","September 21, 2018","April 14, 2020","April 27, 2020","ICON Early Phase Services, San Antonio, Texas, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/05/NCT03680105/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT03680105"
16,"NCT00868855","Tissue-Type Plasminogen Activator (t-PA) Release Predicts Major Adverse Cardiac Events (MACE) in Patients With Non-critical Coronary Artery Disease",,"Terminated","No Results Available","Coronary Artery Disease","Drug: Bradykinin","Mortality","Vanderbilt University|Vanderbilt University Medical Center","All","18 Years and older   (Adult, Older Adult)","Phase 1","16","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","IRB# 030473|5P5OHL081009-02","December 2003","December 2010","December 2010","March 25, 2009",,"December 13, 2017","Vanderbilt University Medical Center, Nashville, Tennessee, United States",,"https://ClinicalTrials.gov/show/NCT00868855"
17,"NCT01901224","Metformin, Muscle Energetics, and Vascular Function in Older Adults With Peripheral Artery Disease",,"Terminated","Has Results","Peripheral Artery Disease","Drug: Metformin 1000 mg|Drug: Placebo","Change in PCr Recovery Time|Change in Flow-mediated Dilation (FMD)","Brigham and Women's Hospital","All","40 Years and older   (Adult, Older Adult)","Phase 4","2","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","2013P001042","July 2013","June 2015","June 2015","July 17, 2013","September 24, 2018","September 24, 2018","Brigham and Women's Hospital, Boston, Massachusetts, United States",,"https://ClinicalTrials.gov/show/NCT01901224"
18,"NCT01975324","A New Medicine to Treat Nonarteritic Anterior Ischemic Optic Neuropathy (NAION)","Ampyra","Completed","No Results Available","Non Arteritic Ischemic Optic Neuropathy","Drug: dalfampridine|Drug: Placebo","Improve visual function","Neuro-Ophthalmologic Associates, PC|Acorda Therapeutics","All","40 Years and older   (Adult, Older Adult)","Phase 4","20","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","Dalfampridine 13-265","July 2013","December 2015","December 2015","November 3, 2013",,"January 25, 2016","Neuro-Ophthalmologic Associates, PC, Philadelphia, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT01975324"
19,"NCT01815957","Impact of Ranolazine on Coronary Microcirculatory Resistance",,"Unknown status","No Results Available","Coronary Microcirculation|Coronary Artery Disease|Myocardial Disease|Ischemia","Drug: Rnalozine","Relative change in IMR before and after Ranolazine therapy.|Absolute change in SAQ and DASI scores before and after Ranolazine therapy.|Compare relative change in IMR among patients with and without symptomatic improvement in angina burden based on SAQ and DASI scores.","University of New Mexico|Gilead Sciences","All","18 Years and older   (Adult, Older Adult)","Not Applicable","20","Other|Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","12-069 MICRO Study","May 2012","June 2016",,"March 21, 2013",,"June 3, 2015","University of New Mexico Health Science Center, Albuquerque, New Mexico, United States",,"https://ClinicalTrials.gov/show/NCT01815957"
20,"NCT00876902","YSPSL for Prevention of Ischemic Reperfusion Injury in Patients Undergoing Cadaveric Orthotopic Liver Transplantation","YSPSL","Unknown status","No Results Available","Ischemia Reperfusion Injury","Drug: recombinant P-selectin glycoprotein ligand Ig fusion protein|Drug: Viaspan® and saline","Safety will be evaluated by clinical and laboratory assessments, an abbreviated pharmacokinetic (PK) profile of the administered dose of YSPSL, and graft function and patient and graft survival through 6 months post-transplant.|To evaluate the potential efficacy of prophylaxis with YSPSL on ischemia reperfusion injury (IRI) as assessed by proposed efficacy evaluations of IRI in liver transplants, in patients who meet eligibility criteria for the trial.","Y's Therapeutics, Inc.","All","18 Years and older   (Adult, Older Adult)","Phase 2","36","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Prevention","YSPSL-0003-PF.3|IND 101,040","May 2008","March 2009","October 2009","April 7, 2009",,"April 7, 2009","UCLA School of Medicine, Los Angeles, California, United States",,"https://ClinicalTrials.gov/show/NCT00876902"
21,"NCT03150667","Study Comparing Treatment Effectiveness of Guideline Indicated APT for ACS in Patients With CKD","CPRS-CKD","Unknown status","No Results Available","Chronic Kidney Diseases|Acute Coronary Syndrome","Drug: Ticagrelor|Drug: Clopidogrel","Occurrence of all-cause mortality, non-fatal myocardial infarction (MI), or ischemic stroke|Occurrence of bleeding|Need for ischemia driven urgent coronary revascularization|Occurrence of MACE events|Length of hospital stay and readmission","North Texas Veterans Healthcare System","All","18 Years and older   (Adult, Older Adult)","Phase 4","220","U.S. Fed","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","16-041","April 10, 2017","April 30, 2019","April 30, 2020","May 12, 2017",,"May 25, 2018","Durham VA Medical Center, Durham, North Carolina, United States|VA North Texas Health Care System, Dallas, Texas, United States",,"https://ClinicalTrials.gov/show/NCT03150667"
22,"NCT00881218","Myocardial Perfusion Magnetic Resonance Imaging Using Regadenoson",,"Completed","No Results Available","Ischemic Heart Disease","Drug: Regadenoson","Feasibility of use of regadenoson during cardiac perfusion MRI to visualize regions of myocardial ischemia as demonstrated on SPECT-MPI.","Washington University School of Medicine|Astellas Pharma US, Inc.","All","18 Years and older   (Adult, Older Adult)","Early Phase 1","50","Other|Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Diagnostic","REGADENOSON.MRI.WUSTL","June 2009","December 2011","December 2011","April 15, 2009",,"April 10, 2012","Washington University School of Medicine, St. Louis, Missouri, United States",,"https://ClinicalTrials.gov/show/NCT00881218"
23,"NCT01756495","A Study to Evaluate the Effect of Losmapimod on Cardiac Conduction as Compared to Placebo and Moxifloxacin",,"Completed","No Results Available","Acute Coronary Syndrome","Drug: Losmapimod|Drug: Moxifloxacin|Drug: Losmapimod matched Placebo|Drug: Moxifloxacin Placebo","Change from baseline in QT interval corrected for heart rate by Fridericia's formula (QTcF) at each time point for losmapimod 20 mg QD on Day 5 as compared with time matched placebo|Change from baseline in QTcF at each time point for losmapimod 7.5 mg BID on Day 5 as compared with time-matched placebo|Change from baseline in QTcF at each time point for moxifloxacin 400 mg single dose as compared with time-matched placebo|Change from baseline in QT interval corrected for heart rate by Bazett's formula (QTcB) at each time point for losmapimod (7.5 mg BID and 20 mg QD) and moxifloxacin (400 mg) on Day 5 as compared with time matched placebo|Change from baseline at each time point on Day 5 for other cardiac electrophysiological parameters: QT, PR, QRS, heart rate (HR) and ECG waveform morphology for losmapimod (7.5 mg BID and 20 mg QD) and moxifloxacin|Area under the plasma concentration-time curve (AUC) of losmapimod and its metabolite GSK198602 at doses of 7.5 mg BID and 20 mg QD, as well as 400 mg single dose of moxifloxacin|Maximum observed plasma concentration (Cmax) of losmapimod and its metabolite GSK198602 at doses of 7.5 mg BID and 20 mg QD, as well as 400 mg single dose of moxifloxacin|Time to Cmax (Tmax) of losmapimod and its metabolite GSK198602 at doses of 7.5 mg BID and 20 mg QD, as well as 400 mg single dose of moxifloxacin|Model parameters appropriate for concentration-QT analysis of losmapimod, metabolite and moxifloxacin (e.g. slope and intercept)|Physical examination findings to assess safety and tolerability of losmapimod and moxifloxacin|12-lead ECGs measurements to assess safety and tolerability of losmapimod and moxifloxacin|Clinical laboratory test measurements to assess safety and tolerability of losmapimod and moxifloxacin|Clinical monitoring/observation|Number of subjects with adverse events|Blood pressure measurements to assess safety and tolerability of losmapimod and moxifloxacin|HR measurements to assess safety and tolerability of losmapimod and moxifloxacin","GlaxoSmithKline","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 1","56","Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","116628","January 10, 2013","April 23, 2013","April 23, 2013","December 27, 2012",,"June 7, 2017","GSK Investigational Site, Baltimore, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT01756495"
24,"NCT03043742","Stem Cell Heart Injections During Laser Revascularization Surgery for Treatment of Chronic Ischemic Heart Disease",,"Recruiting","No Results Available","Chronic Ischemic Heart Disease","Drug: Bone Marrow Derived Autologous CD133+ Selected Cell Product","Occurrence of Treatment-emergent serious adverse events (SAE) and adverse events|Change in left ventricular ejection fraction compared to baseline|Change in myocardial regional function compared to baseline|Change in myocardial regional viability compared to baseline|Change in distance walked compared to baseline|Change in quality of life associated with heart failure compared to baseline|Change in class of angina compared to baseline|Change in class of heart failure compared to baseline|Change in regional left ventricular wall motion compared to baseline|Change in quality of life associated with angina compared to baseline","Michael Sekela|University of Kentucky","All","18 Years and older   (Adult, Older Adult)","Phase 1","10","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","15-1051","July 12, 2016","March 2020","March 2021","February 6, 2017",,"April 9, 2019","University of Kentucky Healthcare, Lexington, Kentucky, United States",,"https://ClinicalTrials.gov/show/NCT03043742"
25,"NCT01165931","Coronary Vasomotor Response After Riociguat Exposure","CORONARIES","Withdrawn","No Results Available","Coronary Artery Disease","Drug: Riociguat (BAY63-2521)","The ratio of the coronary blood flow after Riociguat to the corresponding flow observed after adenosine, compared to that after nitroglycerin administration|Adverse event collection","Bayer","All","18 Years to 90 Years   (Adult, Older Adult)","Phase 2","0","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","14550","May 2012","January 2013","January 2013","July 20, 2010",,"October 23, 2013","Boston, Massachusetts, United States",,"https://ClinicalTrials.gov/show/NCT01165931"
26,"NCT01706510","Antiplatelet Effects of Ticagrelor Versus Clopidogrel in American Indian Patients",,"Completed","No Results Available","Coronary Artery Disease","Drug: Ticagrelor|Drug: Clopidogrel","Compare ticagrelor's versus clopidogrel's inhibition of the P2Y12 receptor as measured by the decrease in P2Y12 Reaction Units (PRU) using VerifyNow TM.|Compare the decrease of P2Y12 Reaction Units (PRU) by VerifyNow TM from ticagrelor and clopidogrel.|Compare the decrease in P2Y l2 Reaction Units (PRU) by VerifyNow™ from ticagrelor's and clopidogrel's morning dose on Day 7|To evaluate and compare the pharmacodynamic effects, measured by the vasodilator-stimulated phosphoprotein (VASP) assay (platelet reactivity index [PRI]), in all subjects|Assess and to compare the percentage of subjects with High on-treatment Platelet Reactivity (HPR) at all time points after randomized study treatment.","Rapid City Regional Hospital, Inc|AstraZeneca","All","18 Years and older   (Adult, Older Adult)","Phase 4","28","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ISSBRIL0076","December 2012","March 2014","April 2014","October 15, 2012",,"May 5, 2015","Regional Heart Doctors/Black Hills Cardiovascular Research, Rapid City, South Dakota, United States",,"https://ClinicalTrials.gov/show/NCT01706510"
27,"NCT03188705","CES1 Carriers in the PAPI Study",,"Enrolling by invitation","No Results Available","Heart Diseases|Coronary Disease|Coronary Artery Disease|Cardiovascular Diseases|Myocardial Ischemia|Artery Occlusion|Aspirin Sensitivity|Clopidogrel, Poor Metabolism of|Platelet Dysfunction|Platelet Thrombus","Drug: Clopidogrel|Drug: Aspirin","Changes in Platelet Function in Response to Clopidogrel|Changes in Platelet Function in Response to Clopidogrel Plus Aspirin","University of Maryland, Baltimore","All","20 Years and older   (Adult, Older Adult)","Phase 4","50","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","HP-00075567","October 14, 2019","September 2020","September 2020","June 15, 2017",,"November 12, 2019","Amish Research Clinic, Lancaster, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT03188705"
28,"NCT01342029","Treatment With Ranolazine in Microvascular Coronary Dysfunction (MCD): Impact on Angina Myocardial Ischemia","RWISE","Completed","Has Results","Microvascular Coronary Dysfunction (MCD)","Drug: Ranolazine|Drug: Placebo","Seattle Angina Questionnaire (SAQ)|Cardiac Magnetic Resonance (CMRs)","Cedars-Sinai Medical Center|University of Florida","All","18 Years and older   (Adult, Older Adult)","Not Applicable","142","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","IN-US-259-0124 - RWISE","May 2011","December 2016","December 2016","April 26, 2011","December 12, 2017","April 24, 2019","127 S. San Vicente Blvd, Suite A9303, Los Angeles, California, United States|University of Florida, Gainesville, Florida, United States",,"https://ClinicalTrials.gov/show/NCT01342029"
