"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
11,"NCT01755949","Colchicine and CRP in Atrial Fibrillation and AF Ablation",,"Completed","Has Results","Atrial Fibrillation","Drug: Colchicine, 0.6 mg PO BID|Drug: Matching placebo","Change in C-reactive Protein|Number of Subjects With Atrial Fibrillation|Time Course of C-reactive Protein Levels","Mayo Clinic|Takeda|Detiger Funds","All","21 Years and older   (Adult, Older Adult)","Phase 2","26","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","12-001686","March 2013","December 6, 2016","December 6, 2016","December 24, 2012","May 9, 2019","May 9, 2019","Mayo Clinic Florida, Jacksonville, Florida, United States",,"https://ClinicalTrials.gov/show/NCT01755949"
12,"NCT04050410","Autonomic Determinants of POTS - Pilot1",,"Suspended","No Results Available","Postural Tachycardia Syndrome","Drug: Moxonidine|Drug: Placebo","Change in Orthostatic Symptom Burden [delta (delta VOSS)]|Change in Orthostatic Change in Heart Rate [delta (delta HR)]","Vanderbilt University Medical Center|National Heart, Lung, and Blood Institute (NHLBI)","Female","18 Years to 55 Years   (Adult)","Early Phase 1","48","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Other","VANDERBILT_IRB_190703|R56HL142583","August 27, 2019","July 31, 2024","December 31, 2025","August 8, 2019",,"April 9, 2020","Vanderbilt University Medical Center, Nashville, Tennessee, United States",,"https://ClinicalTrials.gov/show/NCT04050410"
13,"NCT01352416","Suppression Of Atrial Fibrillation With Ranolazine After Cardiac Surgery",,"Terminated","Has Results","Heart; Dysfunction Postoperative, Cardiac Surgery","Drug: Ranolazine|Drug: Placebo","Freedom From Any Episode of Post Operative Atrial Fibrillation Longer Than 6 Hours Duration Occurring During the Study Period.","William Beaumont Hospitals|Beaumont Foundation of America|Gilead Sciences","All","22 Years and older   (Adult, Older Adult)","Phase 3","15","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","2009-101, IN-US-259-0114","September 2010","November 2012","November 2012","May 11, 2011","January 6, 2017","January 6, 2017","William Beaumont Hospital, Royal Oak, Michigan, United States|William Beaumont Hospital, Troy, Michigan, United States",,"https://ClinicalTrials.gov/show/NCT01352416"
14,"NCT02025465","Randomized Trial Comparing Diltiazem and Metoprolol For Atrial Fibrillation Rate Control",,"Unknown status","No Results Available","Atrial Fibrillation|Atrial Flutter","Drug: Metoprolol|Drug: Diltiazem","Conversion to sinus rhythm|Heart rate control|Home discharges from Emergency Department (ED)|Total hospital cost|Rehospitalization for Atrial Fibrillation","CAMC Health System","All","18 Years and older   (Adult, Older Adult)","Phase 4","150","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","1997386","December 2013","December 2018","December 2018","January 1, 2014",,"August 9, 2017","Charleston Area Medical Center, Charleston, West Virginia, United States",,"https://ClinicalTrials.gov/show/NCT02025465"
15,"NCT03472495","Oral vs Intravenous Diltiazem for Rapid Atrial Fibrillation/Flutter Trial","OVID RAF","Active, not recruiting","No Results Available","Atrial Fibrillation and Flutter","Drug: Diltiazem Oral Product|Drug: Diltiazem Injectable Product","Heart rate control|Adverse event rate","Virginia Commonwealth University","All","18 Years and older   (Adult, Older Adult)","Phase 4","320","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","HM20009559","June 1, 2018","March 2021","March 2021","March 21, 2018",,"April 2, 2020","Virginia Commonwealth University, Richmond, Virginia, United States",,"https://ClinicalTrials.gov/show/NCT03472495"
16,"NCT01988883","Modafinil and Cognitive Function in POTS",,"Active, not recruiting","No Results Available","Postural Tachycardia Syndrome","Drug: Placebo|Drug: Modafinil|Drug: Propranolol","Visual Attention Performance Speed|Executive Function|Blood Pressure|Heart Rate","Vanderbilt University Medical Center","All","18 Years to 60 Years   (Adult)","Early Phase 1","20","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","131371|5UL1TR000445-07","October 2014","December 2020","December 2020","November 20, 2013",,"February 7, 2020","Vanderbilt University, Nashville, Tennessee, United States",,"https://ClinicalTrials.gov/show/NCT01988883"
17,"NCT01590979","Randomized Double Blind Control Trial on Effects of Ranolazine on New Onset Atrial Fibrillation",,"Terminated","Has Results","Atrial Fibrillation New Onset|Hemorrhage|Prolonged QTc Interval|Ventricular Tachycardia|Medical Care; Complications, Late Effect of Complications","Drug: Ranolazine|Drug: Placebo","Incidence of New Onset Atrial Fibrillation Rate in Post-Operative Cardiac Surgery Patients","Northwell Health|Gilead Sciences","All","18 Years and older   (Adult, Older Adult)","Not Applicable","54","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Prevention","Bekheit-Ranolazine","April 2012","June 2015","June 2015","May 3, 2012","March 23, 2017","March 23, 2017","Staten Island University Hosptial, Staten Island, New York, United States",,"https://ClinicalTrials.gov/show/NCT01590979"
18,"NCT01710254","Regadenoson Stress-MRI to Identify Coronary Artery Disease in Atrial Fibrillation Patients","RECAD-AF","Completed","Has Results","Atrial Fibrillation|Coronary Artery Disease","Drug: Regadenoson MRI|Drug: Gadobenate dimeglumine","Sensitivity of Regadenoson Stress-MRI for Detection of Coronary Artery Disease (CAD)|Specificity of Regadenoson Stress-MRI for Detection of Coronary Artery Disease (CAD)|Accuracy of Regadenoson Stress-MRI for Detection of Coronary Artery Disease (CAD)","University of Utah","All","18 Years to 100 Years   (Adult, Older Adult)","Phase 2","30","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","REGA-12F08","January 2013","October 2016","October 2016","October 19, 2012","November 7, 2017","December 13, 2017","University of Utah, Salt Lake City, Utah, United States",,"https://ClinicalTrials.gov/show/NCT01710254"
19,"NCT01013714","Cardiac Sympathetic Denervation for Prevention of Ventricular Tachyarrhythmias","PREVENT VT","Not yet recruiting","No Results Available","Sudden Cardiac Death|Ventricular Tachycardia|Ventricular Fibrillation|Cardiomyopathy","Procedure: Cardiac Sympathetic Denervation (CSD)|Drug: Routine Care","Time to ICD shock, death, or cardiac transplantation|Number of ICD shocks|Number of appropriate ICD therapies (including ATPs ) and sustained VT below ICD detection|Serious adverse events|Number and etiology of hospitalizations|Number of deaths or cardiac transplantations","University of California, Los Angeles|Johns Hopkins University|Vanderbilt University","All","18 Years and older   (Adult, Older Adult)","Phase 3","40","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","UCLA09-07-100-01","July 2020","July 2023","July 2023","November 16, 2009",,"October 22, 2019","UCLA Health, Los Angeles, California, United States",,"https://ClinicalTrials.gov/show/NCT01013714"
20,"NCT02830360","Antiarrhythmics or Ablation for Ventricular Tachycardia 2","VANISH2","Recruiting","No Results Available","Ventricular Tachycardia (VT)","Drug: Antiarrythmic Drug Therapy|Procedure: Catheter ablation","All-cause mortality|Appropriate ICD shock at least 14 days post randomization|VT storm at least 14 days post randomization|Sustained VT requiring treatment at least 14 days post randomziation|Incessant VT at least 14 days post randomization|Appropriate ICD ATP at any time or after 14 days|Appropriate shocks|VT storm at any time or after 14 days|Sustained VT not treated by ICD at any time or after 14 days|Incessant VT at any time or after 14 days|Time to sustained VT treated with appropriate any type of manual cardioversion after 14 days|Inappropriate ICD shocks at any time or after 14 days|Any ICD shock at any time or after 14 days|Any ventricular arrhythmia event at any time or after 14 days (composite of appropriate ATP, appropriate shock, sustained VT not treated by ICD, external cardioversion, or pharmacologic cardioversion)|Number of ICD shocks (all cause)|Number of Anti-tachycardia pacing (ATP)|Number of ICD appropriate therapy|Number of VT storm events|Number of sustained VT events|Number of ventricular arrhythmia events|Hospital admission for cardiac causes|.Ablation procedural complications or antiarrhythmic drug adverse effects (this may require a separate substudy, depending on data complexity)|Time to any serious adverse events|Side effects from anti-arrhythmic medication|Quality of life - SF36|Quality of life - EQ5D|Quality of life - HADS|Cost-effectiveness|Escalation and De-escalation of antiarrhythmic medication","John Sapp|Heart and Stroke Foundation of Canada|Abbott Medical Devices|Biosense Webster, Inc.|Ottawa Heart Institute Research Corporation|Canadian Institutes of Health Research (CIHR)|Cardiac Arrhythmia Network of Canada|Abbott|Nova Scotia Health Authority","All","18 Years and older   (Adult, Older Adult)","Phase 4","366","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","SAPP004","October 2016","October 2021","October 2022","July 12, 2016",,"April 25, 2019","Hartford Hospital, Hartford, Connecticut, United States|Vanderbilt University Hospital, Nashville, Tennessee, United States|Foothills Hospital, Calgary, Alberta, Canada|University of Alberta Hospital, Edmonton, Alberta, Canada|Fraser Health Authority - Royal Columbian Hospital, Vancouver, British Columbia, Canada|St. Paul's Hospital, Vancouver, British Columbia, Canada|Royal Jubilee Hospital, Victoria, British Columbia, Canada|Nova Scotia Health Authority, Halifax, Nova Scotia, Canada|Hamilton Health Sciences Center, Hamilton, Ontario, Canada|Queen's University Health Sciences Centre, Kingston, Ontario, Canada|St. Mary's Hospital, Kitchener, Ontario, Canada|London Health Sciences Centre, London, Ontario, Canada|University of Ottawa Heart Institute, Ottawa, Ontario, Canada|St. Michael's Hospital, Toronto, Ontario, Canada|Montreal Heart Institute, Montreal, Quebec, Canada|McGill University Health Center, Montreal, Quebec, Canada|Centre Hospitalier de l'Universitaire de Montreal, Montréal, Quebec, Canada|Institut Universitaire de cardiologie et pneumologie de Quebec - Laval University Hosptial, Quebec CIty, Quebec, Canada|Centre Hospitalier Univesitaire de Sherbrooke, Sherbrooke, Quebec, Canada|Hopitaux de Bordeaux, Bordeaux, Acquitaine, France|CHU - University Hospital Nancy, Nancy, Meurthe-et-Moselle, France",,"https://ClinicalTrials.gov/show/NCT02830360"
21,"NCT03919773","IVIG (Gamunex-C) Treatment Study for POTS Subjects","iSTAND","Enrolling by invitation","No Results Available","Postural Tachycardia Syndrome","Drug: IVIG|Drug: Albumin","Improvement in symptoms measured by change in COMPASS-31 score.","University of Texas Southwestern Medical Center|Grifols Biologicals, LLC|Dysautonomia International","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","20","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","STU-2018-0005","October 29, 2018","July 2020","December 2020","April 18, 2019",,"May 13, 2019","UT Southwestern Medical Center, Dallas, Texas, United States",,"https://ClinicalTrials.gov/show/NCT03919773"
22,"NCT02931253","Metformin as an Upstream Therapy in Atrial Fibrillation",,"Terminated","No Results Available","Atrial Fibrillation","Drug: Metformin","Number of participants who maintain sinus rhythm|Hospitalization|Number of antiarrhythmic medications|Number of repeat ablations|BMI|Hemoglobin A1c|Number of thromboembolic events","The Guthrie Clinic","All","18 Years and older   (Adult, Older Adult)","Phase 2","6","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","1602-01","April 11, 2017","July 10, 2018","July 10, 2018","October 13, 2016",,"August 1, 2018","The Guthrie Clinic, Sayre, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT02931253"
23,"NCT04134845","Feasibility of Dantrolene to Study RyR2 Inhibition to Prevent Ventricular Arrhythmias",,"Completed","No Results Available","Ventricular Tachycardia","Drug: Dantrolene","Inducibility of sustained VT/VF by standardized ventricular stimulation protocol","Vanderbilt University Medical Center","All","18 Years and older   (Adult, Older Adult)","Early Phase 1","5","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","190797","October 7, 2019","February 10, 2020","February 10, 2020","October 22, 2019",,"April 9, 2020","Vanderbilt University Medical Center, Nashville, Tennessee, United States",,"https://ClinicalTrials.gov/show/NCT04134845"
24,"NCT02099331","Cardiac Surgery and the Risk of Atrial Fibrillation: an Intervention Trial Evaluating Melatonin","DREAM","Active, not recruiting","No Results Available","Atrial Fibrillation","Drug: Melatonin|Drug: Placebo (for Melatonin)","Incidence of atrial fibrillation|Levels of Reactive Oxygen Species (ROS)","Johns Hopkins University","All","18 Years and older   (Adult, Older Adult)","Phase 2","140","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Prevention","NA_00090647","September 2014","November 2020","November 2020","March 28, 2014",,"November 12, 2019","Johns Hopkins Hospital, Baltimore, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT02099331"
25,"NCT03907046","Anticoagulation in ICH Survivors for Stroke Prevention and Recovery","ASPIRE","Suspended","No Results Available","Intracerebral Hemorrhage|Atrial Fibrillation","Drug: Apixaban|Drug: Aspirin","Stroke or death|Modified Rankin Scale (mRS) score","Yale University|National Institute of Neurological Disorders and Stroke (NINDS)","All","18 Years and older   (Adult, Older Adult)","Phase 3","700","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention","2000026409|1U01NS106513-01A1","January 28, 2020","April 2024","April 2024","April 8, 2019",,"April 7, 2020","Yale New Haven Hospital, New Haven, Connecticut, United States",,"https://ClinicalTrials.gov/show/NCT03907046"
26,"NCT02251509","Rate Control in Atrial Fibrillation",,"Unknown status","No Results Available","Atrial Fibrillation","Drug: Carvedilol|Drug: Metoprolol tartrate","Resting heart rate","Creighton University","All","19 Years and older   (Adult, Older Adult)","Phase 4","20","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","624918","December 2016","September 2017","September 2017","September 29, 2014",,"June 16, 2016","Creighton University, Omaha, Nebraska, United States",,"https://ClinicalTrials.gov/show/NCT02251509"
27,"NCT01250912","Imaging With a Radio Tracer to Guide VT Ablations",,"Completed","No Results Available","Ventricular Tachycardia|Arrhythmia","Drug: 123I-metaiodobenzylguanidine","Imaging of Nerve distribution in heart","University of Maryland, College Park|GE Healthcare|University of Maryland, Baltimore","All","18 Years and older   (Adult, Older Adult)","Not Applicable","20","Other|Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","HP-00043324","March 2010","August 2015","August 2015","December 1, 2010",,"April 6, 2018","University of Maryland Medical Center, EP Lab, Rm. N3W77, Baltimore, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT01250912"
28,"NCT02498769","Temporary Autonomic Blockade to Prevent Atrial Fibrillation After Cardiac Surgery",,"Completed","Has Results","Atrial Fibrillation","Drug: Botulinum Toxin Type A|Drug: Placebo","Time to In-hospital Post-operative Atrial Fibrillation (POAF)|Number of Participants With In-hospital POAF|Length of Stay|Number of Participants With Adverse Events","Joseph Mathew, M.D.|Foundation for Anesthesia Education and Research|American Heart Association|Duke University","All","50 Years to 90 Years   (Adult, Older Adult)","Phase 1|Phase 2","130","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention","Pro00061607","September 2015","September 28, 2017","December 1, 2018","July 15, 2015","December 7, 2018","February 22, 2019","Duke University Medical Center, Durham, North Carolina, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/69/NCT02498769/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT02498769"
29,"NCT01901575","Remifentanil Intravenous Patient Controlled Analgesia (IVPCA) for Ablation of Idiopathic Ventricular Tachycardia","IVPCA","Completed","Has Results","Tachycardia, Ventricular","Drug: Remifentanil","Inhibition of Idiopathic Ventricular Tachycardia|PVC Suppression With Remifentanil Sedation","NYU Langone Health","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 4","16","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","11-00800","July 2011","April 2013","April 2013","July 17, 2013","December 19, 2014","January 2, 2018","NYU Langone Medical Center, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT01901575"
30,"NCT02697448","Comparison of Propofol and Sevoflurane as a Primary Anesthetic for Cardiac Ablation of Atrial Fibrillation.",,"Recruiting","No Results Available","Atrial Fibrillation","Drug: propofol|Drug: sevoflurane","procedure duration","Medical University of South Carolina","All","18 Years to 80 Years   (Adult, Older Adult)","Not Applicable","126","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","Pro00044072","February 2016","February 2021","February 2021","March 3, 2016",,"April 24, 2020","Medical University of South Carolina, Charleston, South Carolina, United States",,"https://ClinicalTrials.gov/show/NCT02697448"
31,"NCT01173809","Effect of Amiodarone on the Procedure Outcome in Long-standing Persistent Atrial Fibrillation Undergoing Pulmonary Vein Antral Isolation","SPECULATE","Completed","No Results Available","Atrial Fibrillation","Drug: Amiodarone","Recurrence of atrial arrhythmia|Relapse of AF","Texas Cardiac Arrhythmia Research Foundation|University of Kansas|California Pacific Medical Center|Stanford University|Case Western Reserve University|Southlake Regional Health Centre|Catholic University, Italy","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 3","176","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","TCAI-SPECULATE","October 2010","May 2014","July 2014","August 2, 2010",,"August 21, 2014","St.David's Medical Center, Austin, Texas, United States",,"https://ClinicalTrials.gov/show/NCT01173809"
32,"NCT02441491","Treatment of Rapid Onset Obesity, Hypoventilation, Hypothalamic Dysfunction, and Autonomic Dysregulation (ROHHAD )",,"Active, not recruiting","No Results Available","ROHHAD Syndrome","Drug: Cyclophosphamide","Symptomatic improvement on the ROHHAD Symptoms Scale of children with ROHHAD syndrome after treatment with high-dose cyclophosphamide .|Safety and toxicity of high-dose cyclophosphamide used to treat children with ROHHAD of as measured by NCI Common Terminology Criteria for Adverse Events (CTCAE) v4.0.|To calculate Area Under Curve (AUC) of high dose cyclophosphamide in obese children.|Neuropsychological function of patients with ROHHAD before and after high-dose cyclophosphamide measured using complementary age appropriate evaluation tools including Wechsler Preschool and Primary Scale of Intelligence RAN objects, and AIM.","Johns Hopkins University","All","12 Months to 22 Years   (Child, Adult)","Not Applicable","12","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","IRB00060912|J1520","March 2015","March 2022","March 2023","May 12, 2015",,"February 18, 2020","Sidney Kimmel Cancer Center, Baltimore, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT02441491"
