"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
11,"NCT04123067","Pioglitazone Treatment for Hyperglycemic Acute Ischemic Stroke",,"Suspended","No Results Available","Stroke, Acute|Hyperglycemia|Diabetes","Drug: Pioglitazone 45 mg|Drug: Placebo oral tablet","Clinical outcomes|Clinical Outcome|Concentration of markers of neutrophil activation and function|Concentration of stress response markers including cortisol, norepinephrine and epinephrine","Milton S. Hershey Medical Center|National Center for Advancing Translational Science (NCATS)","All","21 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","50","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","00011042","July 1, 2020","December 2020","July 2021","October 10, 2019",,"April 9, 2020","Penn State College of Medicine, Hershey, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT04123067"
12,"NCT01150266","Study for the Use of Alteplase in Patients Who Awaken With Stroke","AWOKE","Withdrawn","No Results Available","Ischemic Stroke","Drug: Alteplase (tPA)","Symptomatic Intracranial Hemorrhage|Modified Rankin Scale|National Institutes of Health Stroke Scale (NIHSS)","University of California, San Diego|National Institute of Neurological Disorders and Stroke (NINDS)|Scripps Health","All","22 Years and older   (Adult, Older Adult)","Phase 1","0","Other|NIH","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","AWOKE|5P50NS044148","August 2011","September 2013",,"June 24, 2010",,"September 13, 2013","University of California, San Diego, San Diego, California, United States",,"https://ClinicalTrials.gov/show/NCT01150266"
13,"NCT01975194","Rosuvastatin in African Americans With Cerebrovascular Disease","RIAA","Terminated","No Results Available","Stroke|Transient Ischemic Attack","Drug: Rosuvastatin","LDL value","Wayne State University","All","30 Years and older   (Adult, Older Adult)","Phase 4","20","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","0481540","January 2012","August 2013","August 2013","November 3, 2013",,"November 5, 2013","Detroit Medical Center, Detroit, Michigan, United States",,"https://ClinicalTrials.gov/show/NCT01975194"
14,"NCT03979781","Personalized Antiplatelet Secondary Stroke PRevenTion","PASSPoRT","Recruiting","No Results Available","Ischemic Stroke|TIA","Drug: tailored antiplatelet selection|Drug: standard of care","Feasibility - Recruitment and Platelet Reactivity|Safety - Bleeding Complications|Patient-centered Outcomes - Satisfaction","State University of New York - Upstate Medical University","All","18 Years to 100 Years   (Adult, Older Adult)","Phase 2","60","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","1158092","June 11, 2018","November 6, 2020","November 6, 2020","June 7, 2019",,"June 7, 2019","SUNY Upstate Medical University, Syracuse, New York, United States",,"https://ClinicalTrials.gov/show/NCT03979781"
15,"NCT01794182","Glyburide Advantage in Malignant Edema and Stroke - Remedy Pharmaceuticals","GAMES-RP","Unknown status","No Results Available","Ischemic Stroke|Malignant Edema","Drug: RP-1127 (Glyburide for Injection)","The proportion of patients with a modified Rankin Scale (mRS) at Day 90 ≤ 4 without decompressive craniectomy|Safety of RP-1127 in subjects with a severe anterior circulation ischemic stroke who are likely to develop malignant edema.|Proportion of subjects undergoing DC or dead within 14 days|The change between baseline and 72-96 hours in ipsilateral hemispheric swelling measured by MRI|The change between baseline and 72-96 hours in lesional swelling measured by MRI","Remedy Pharmaceuticals, Inc.","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 2","83","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention","RPI 203","May 2013","August 2015","April 2016","February 18, 2013",,"June 2, 2015","University of Arizona Medical Center, Tucson, Arizona, United States|Stanford University Medical Center, Stanford, California, United States|Yale University School of Medicine, New Haven, Connecticut, United States|University of Florida, Jacksonville, Jacksonville, Florida, United States|Northwestern Memorial Hospital, Chicago, Illinois, United States|University of Louisville Hospital, Louisville, Kentucky, United States|Maine Medical Center, Scarborough, Maine, United States|University of Maryland School of Medicine, Baltimore, Maryland, United States|Massachusetts General Hospital, Boston, Massachusetts, United States|UMASS Memorial Medical Center, Worcester, Massachusetts, United States|Cleveland Clinic, Cleveland, Ohio, United States|Ohio State University Wexner Medical Center, Columbus, Ohio, United States|Oregon Health & Science University Hospital, Portland, Oregon, United States|Abington Memorial Hospital, Abington, Pennsylvania, United States|UPMC Presbyterian Hospital, Pittsburgh, Pennsylvania, United States|Medical University of South Carolina, Charleston, South Carolina, United States|University of Utah Healthcare, Salt Lake City, Utah, United States",,"https://ClinicalTrials.gov/show/NCT01794182"
16,"NCT02737930","Fluoxetine for Visual Recovery After Ischemic Stroke","FLUORESCE","Recruiting","No Results Available","Acute Stroke|Visual Field Loss","Drug: Fluoxetine|Drug: Placebo","Improvement in size of visual field deficit (degrees)|Improvement in size of visual field deficit (square degrees)|Improvement in parametric mean deviation|Functional field score|Visual Function Questionnaire-25 score|Patient Health Questionnaire-9 score|Modified Rankin Scale score|Post-stroke changes in cortical visual representation as measured by functional magnetic resonance imaging|Post-stroke changes in retinal nerve fiber layer thickness","Bogachan Sahin|University of Rochester","All","18 Years to 85 Years   (Adult, Older Adult)","Phase 2","40","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","RSRB00058133","May 2016","June 2020","June 2020","April 14, 2016",,"August 21, 2019","Strong Memorial Hospital, Rochester, New York, United States",,"https://ClinicalTrials.gov/show/NCT02737930"
17,"NCT01268683","Glyburide Advantage in Malignant Edema and Stroke Pilot","GAMES-PILOT","Completed","Has Results","Ischemic Stroke","Drug: RP-1127 (Glyburide for injection)","Rate of Recruitment|Safety and Tolerability|Pharmacokinetics/Pharmacodynamics|Clinical and MRI Outcome Data","Remedy Pharmaceuticals, Inc.|University of Maryland, College Park|Massachusetts General Hospital","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 1|Phase 2","10","Industry|Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","RPI 201","May 2011","June 2012","February 2013","December 31, 2010","June 6, 2014","June 6, 2014","Rush University Medical Center, Chicago, Illinois, United States|University of Maryland Medical Center, Baltimore, Maryland, United States|Massachusetts General Hospital, Boston, Massachusetts, United States|University of Pittsburgh Medical Center, Pittsburgh, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT01268683"
18,"NCT01183533","Safety of Intravenous Thrombolysis for Wake-up Stroke","Wake-Up Stroke","Completed","Has Results","Ischemic Stroke","Drug: Alteplase (iv t-PA)","Frequency of Symptomatic Hemorrhagic Transformation Safety of iv Rt-PA in Wake up Stroke Patients|90-day Modified Rankin Scale (mRS) Score 0 or 1|Mortality","The University of Texas Health Science Center, Houston|Genentech, Inc.","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 2","40","Other|Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","HSC-MS-10-0195","July 2010","October 2013","January 2014","August 17, 2010","November 25, 2014","November 25, 2014","University of Alabama, Birmingham, Alabama, United States|Swedish Medical Center, Englewood, Colorado, United States|UT-Houston Health Science Center, Houston, Texas, United States",,"https://ClinicalTrials.gov/show/NCT01183533"
19,"NCT01849887","Safety of Escalating Doses of Intravenous Bone Marrow-Derived Mesenchymal Stem Cells in Patients With a New Ischemic Stroke",,"Withdrawn","No Results Available","Ischemic Stroke","Biological: bone marrow-derived mesenchymal stem cells|Drug: Placebo","Number of Adverse Events","University of California, Irvine","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 1|Phase 2","0","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","DR3-07521","January 2016","January 2016","January 2016","May 9, 2013",,"January 22, 2016","University of California Irvine Medical Center, Orange, California, United States",,"https://ClinicalTrials.gov/show/NCT01849887"
20,"NCT03347786","Verapamil for Neuroprotection in Stroke",,"Recruiting","No Results Available","Ischemic Stroke","Drug: Verapamil","Serious Adverse Event","Global Neurosciences Institute","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 1","20","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","GNI_verap","April 20, 2017","April 2020","April 2020","November 20, 2017",,"August 14, 2019","Our Lady of Lourdes Medical Center, Camden, New Jersey, United States|Hahnemann University Hospital, Philadelphia, Pennsylvania, United States|Crozer Keystone Health System, Upland, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT03347786"
21,"NCT01674868","Fluoxetine for Motor, Aphasia, and Neglect Recovery After Ischemic Stroke","FLAN","Withdrawn","No Results Available","Stroke","Drug: fluoxetine|Drug: placebo","Fugl-Meyer Motor Scale (FMMS)|Western Aphasia Battery|Behavioral Inattention Test (BIT)|Functional Independence Measure|Fatigue Severity Scale|Beck Depression Inventory|modified Rankin Scale","Spaulding Rehabilitation Hospital","All","18 Years to 85 Years   (Adult, Older Adult)","Not Applicable","0","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","FLAN SpauldingRH","April 2013","December 2015","December 2015","August 29, 2012",,"June 16, 2015","Spaulding Rehabilitation Hospital, Boston, Massachusetts, United States",,"https://ClinicalTrials.gov/show/NCT01674868"
22,"NCT03617302","Inorganic Nitrate Supplementation on Cerebrovascular Aging and Arterial Stiffness Study","INCA","Recruiting","No Results Available","Aging|Arterial Stiffness|Endothelial Dysfunction|Hypertension|Cognitive Decline","Drug: Experimental: Nitrate-containing|Drug: Placebo: Nitrate-depleted","Acute change in carotid artery stiffness|Acute change in cerebral blood flow|Internal carotid artery endothelium-dependent dilation","Gary L. Pierce|University of Wisconsin, Madison|University of Iowa","All","50 Years to 79 Years   (Adult, Older Adult)","Early Phase 1","18","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","201805720","November 1, 2018","June 30, 2022","June 30, 2023","August 6, 2018",,"January 23, 2020","University of Iowa, Iowa City, Iowa, United States",,"https://ClinicalTrials.gov/show/NCT03617302"
23,"NCT03417492","Cerebrovascular Reactivity in American Football Players",,"Recruiting","No Results Available","Traumatic Brain Injury|Mild Traumatic Brain Injury|Post-Concussion Syndrome","Drug: Sildenafil Citrate","Effect of single dose sildenafil citrate treatment on global blood oxygen level-dependent (BOLD) response to hypercapnia.|Effect of single dose sildenafil citrate treatment on functional near-infrared spectroscopy (fNIRS) response to hypercapnia.|Maximum tolerable dose of sildenafil therapy without severe adverse events.","University of Pennsylvania|Boston University","Male","40 Years to 65 Years   (Adult, Older Adult)","Phase 1","30","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","827103","March 1, 2018","March 1, 2021","September 1, 2021","January 31, 2018",,"August 28, 2019","Penn Presbyterian Medical Center, Philadelphia, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT03417492"
24,"NCT02478346","Yellow 560 Microscope for Intraoperative Visualization of Fluorescein Stained Intracranial Lesions","Fluoescein","Unknown status","No Results Available","Cerebrovascular Disorders|Intracranial Neoplasms","Drug: Fluorescein Sodium","Incidence of Intracerebral lesion","AdventHealth","All","18 Years and older   (Adult, Older Adult)","Phase 4","200","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","684812","May 2015","December 2018","April 2019","June 23, 2015",,"February 14, 2017","Florida Hospital, Orlando, Florida, United States",,"https://ClinicalTrials.gov/show/NCT02478346"
25,"NCT01464788","Randomized Controlled Trial of Argatroban With Tissue Plasminogen Activator (tPA) for Acute Stroke","ARTSS-2","Terminated","Has Results","Ischemic Stroke","Drug: Low Dose Argatroban|Drug: High Dose Argatroban|Drug: rt-PA (alteplase)","Number of Participants With 0 or 1 on Modified Rankin Scale|Number of Participants With Symptomatic Intracranial Hemorrhage Within 48 Hours of tPA Administration","Andrew D. Barreto, MD|The University of Texas Health Science Center, Houston","All","18 Years and older   (Adult, Older Adult)","Phase 2","90","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","HSC-MS-11-0464","October 2011","June 11, 2015","June 11, 2015","November 4, 2011","May 11, 2017","May 11, 2017","University of Texas Health Science Center at Houston, Houston, Texas, United States",,"https://ClinicalTrials.gov/show/NCT01464788"
26,"NCT02922452","A Study to Evaluate the Effect of Diltiazem on the Pharmacokinetics (PK) of BMS-986141 in Healthy Subjects",,"Completed","No Results Available","Ischemic Stroke","Drug: BMS-986141|Drug: Dilitazem","Maximum observed concentration (Cmax)|Area under the concentration-time curve from time zero extrapolated to infinite time (AUC(INF))|Area under the concentration-time curve from time zero to the time of the last quantifiable concentration (AUC (0-T))|Safety endpoints include the incidence of adverse events (AEs), serious adverse events (SAEs), AEs leading to discontinuation, and death","Bristol-Myers Squibb","All","18 Years to 50 Years   (Adult)","Phase 1","16","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","CV006-028","September 2016","November 2016","November 2016","October 4, 2016",,"December 20, 2016","PPD Development, Austin, Texas, United States",,"https://ClinicalTrials.gov/show/NCT02922452"
27,"NCT01811693","Field Administration of Stroke Therapy-Blood Pressure Lowering","FAST-BP","Unknown status","No Results Available","Intracerebral Hemorrhage|Ischemic Stroke","Drug: Glycerly Trinitrate","Mean blood pressure change","University of California, Los Angeles","All","40 Years to 80 Years   (Adult, Older Adult)","Phase 2","45","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","FBP001","April 2013","December 2015",,"March 14, 2013",,"June 4, 2015","Los Alamitos Medical Center, Los Alamitos, California, United States|FAST-MAG Clinical Trial Coordinating Center, Los Angeles, California, United States",,"https://ClinicalTrials.gov/show/NCT01811693"
28,"NCT01762475","Sildenafil for Cerebrovascular Dysfunction in Chronic Traumatic Brain Injury.",,"Completed","No Results Available","Traumatic Brain Injury|Post-concussive Syndrome","Drug: Sildenafil","Cerebrovascular reactivity|Safety and tolerability","Uniformed Services University of the Health Sciences|Center for Neuroscience and Regenerative Medicine (CNRM)|National Institute of Neurological Disorders and Stroke (NINDS)|National Institutes of Health (NIH)","All","18 Years to 55 Years   (Adult)","Phase 2","59","U.S. Fed|NIH","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","T-N-2215","January 2013","December 2015","December 2015","January 7, 2013",,"January 1, 2016","National Institute of Health, Bethesda, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT01762475"
