"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
11,"NCT03702829","24 Month Open Label Study of the Tolerability and Efficacy of Inotersen in TTR Amyloid Cardiomyopathy Patients",,"Recruiting","No Results Available","Amyloidosis","Drug: Inotersen","Systolic strain imaging by echocardiographic|Systolic strain evaluation by echocardiography|LV mass measurement by Cardiac MRI (cMRI) (units = grams)|ECV-extracellular volume by Cardiac MRI (cMRI) (unit=percentage)","Brigham and Women's Hospital","All","18 Years to 85 Years   (Adult, Older Adult)","Phase 2","50","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2018P001436","February 28, 2019","January 2022","March 2022","October 11, 2018",,"August 2, 2019","Brigham and Women's Hospital, Boston, Massachusetts, United States",,"https://ClinicalTrials.gov/show/NCT03702829"
12,"NCT03944577","Impact of Evolocumab in Cardiac Transplant Patients With CAV",,"Recruiting","No Results Available","Heart Transplant","Drug: Evolocumab (Repatha)","To measure the effect of evolocumab on serum LDL as measured in mL/dL after 12 weeks of therapy in heart transplant patients.","University of Nebraska|Amgen","All","19 Years to 80 Years   (Adult, Older Adult)","Phase 2","40","Other|Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","20177584","July 15, 2019","July 1, 2021","September 1, 2021","May 9, 2019",,"July 29, 2019","University of Nebraska Medical Center, Omaha, Nebraska, United States",,"https://ClinicalTrials.gov/show/NCT03944577"
13,"NCT02637193","A Study to Assess The Effects Of Effexor XR On Cardiac Repolarization In Healthy Adult Subjects",,"Completed","No Results Available","Healthy Subjects","Drug: Venlafaxine|Drug: Moxifloxacin|Drug: Drug - placebo","Postdose QTcF (Fridericia's correction) intervals|Averse events, vital signs, physical examinations and abnormal laboratory for safety assessments (safety and tolerability)|Relationship between QTc prolongation and the measured venlafaxine/desvenlafaxine plasma concentration","Pfizer","All","18 Years to 55 Years   (Adult)","Phase 1","54","Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Other","B2411360|TQTC","December 2015","July 2016","July 2016","December 22, 2015",,"June 21, 2018","Pfizer New Haven Clinical Research Unit, New Haven, Connecticut, United States",,"https://ClinicalTrials.gov/show/NCT02637193"
14,"NCT03035227","Catheter Ablation of Arrhythmias to Improve CRT Response","ABLATE-CRT","Terminated","No Results Available","Arrhythmia, Cardiac","Procedure: Catheter Ablation|Drug: Anti-Arrhythmics","Change in Ejection Fraction (EF)|Bi-ventricular pacing improvement|Cardiovascular mortality|All-cause mortality|Hospital admissions for heart failure exacerbation|New York Heart Association (NYHA) class change|Change in 6 minute walk test|Change in Quality of Life - SF-36|Change in Quality of Life Kansas City Cardiomyopathy Questionnaire (KCCQ)","Kansas City Heart Rhythm Institute|Biosense Webster, Inc.","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 4","2","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","STUDY00003861","January 23, 2017","May 1, 2018","May 1, 2018","January 27, 2017",,"September 30, 2019","University of Kansas Medical Center, Kansas City, Kansas, United States",,"https://ClinicalTrials.gov/show/NCT03035227"
15,"NCT01960153","Phosphodiesterase Type 5 Inhibition With Tadalafil Changes Outcomes in Heart Failure: Extent of Renal Damage","PITCH-ER","Withdrawn","No Results Available","Heart Failure|Pulmonary Hypertension","Drug: Tadalafil|Drug: Placebo","Change in renal function|Incidence of acute kidney injury (AKI) events (clinical and subclinical)|Changes in renal function stratified by diabetes/no diabetes|Incidence of AKI events stratified by diabetes/no diabetes","Massachusetts General Hospital|National Heart, Lung, and Blood Institute (NHLBI)|HealthCore-NERI","All","21 Years and older   (Adult, Older Adult)","Phase 3","0","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention","2013P001412|R01HL119155-01A1","October 2013","December 2017","May 2018","October 10, 2013",,"September 12, 2017","Massachusetts General Hospital, Boston, Massachusetts, United States",,"https://ClinicalTrials.gov/show/NCT01960153"
16,"NCT01763996","The Influence of Febuxostat on Coronary Artery Endothelial Dysfunction in Participants With Chronic Stable Angina",,"Completed","Has Results","Coronary Artery Disease","Drug: Febuxostat|Drug: Febuxostat placebo","Change in Coronary Artery Flow From Rest to Isometric Handgrip (IHG) Exercise at the End of the Administration of Febuxostat and Placebo|Change in Coronary Artery Cross-Sectional Area From Rest to IHG Exercise at the End of the Administration of Febuxostat and Placebo|Change in Coronary Flow Velocity From Rest to IHG Exercise at the End of the Administration of Febuxostat and Placebo|Change in Coronary Artery Flow Following the Administration of Sublingual Nitroglycerin at the End of the Administration of Febuxostat and Placebo|Change in Coronary Artery Cross Sectional Area Following the Administration of Sublingual Nitroglycerin at the End of the Administration of Febuxostat and Placebo|Change in Coronary Flow Velocity Following the Administration of Sublingual Nitroglycerin at the End of the Administration of Febuxostat and Placebo|Change in Time to Onset of ≥1 mm ST-Segment Depression During Exercise Treadmill Test (ETT)|Change in Maximum ST-segment Depression During Exercise Treadmill Test|Percentage of Participants Stopping Exercise Treadmill Test Due to Angina at the End of the Administration of Febuxostat and Placebo|Time to Onset of Angina During Exercise Treadmill Test at the End of the Administration of Febuxostat and Placebo|Exercise Duration","Takeda","All","18 Years to 85 Years   (Adult, Older Adult)","Phase 4","30","Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","CCR-FEB-002|U1111-1136-2270","May 2013","March 2015","April 2015","January 9, 2013","April 13, 2016","April 13, 2016","Baltimore, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT01763996"
17,"NCT03392740","Prophylactic Lisinopril to Prevent Anthracycline Cardiomyopathy.",,"Unknown status","No Results Available","Cardiomyopathy Due to Drug|Heart Failure, Systolic","Drug: Lisinopril|Drug: Placebo Oral Tablet","Change in strain rate from baseline|Heart failure and left ventricular dysfunction","Ascension Genesys Hospital","All","18 Years and older   (Adult, Older Adult)","Phase 4","200","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Care Provider)|Primary Purpose: Prevention","GHIGHCI2018","March 15, 2018","March 15, 2019","March 15, 2020","January 8, 2018",,"February 22, 2018","Genesys Regional Medical Center, Grand Blanc, Michigan, United States",,"https://ClinicalTrials.gov/show/NCT03392740"
18,"NCT01157949","A Study to Compare the Effectiveness of a Drug That Suppresses the Immune System Called Thymoglobulin® in Preventing the Development of a Disease That Affects the Majority of Heart Transplant Recipients Called Cardiac Allograft Vasculopathy (CAV)",,"Withdrawn","No Results Available","Cardiac Allograft Vasculopathy","Drug: Thymoglobulin",,"Cedars-Sinai Medical Center|Genzyme, a Sanofi Company","All","18 Years to 70 Years   (Adult, Older Adult)","Phase 3","0","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","MA-1007-1","November 2010","November 2013","January 10, 2018","July 8, 2010",,"March 14, 2019","Cedars-Sinai Medical Center, Beverly Hills, California, United States",,"https://ClinicalTrials.gov/show/NCT01157949"
19,"NCT02359227","Safety Study of Cenderitide in Stable Chronic Heart Failure",,"Completed","No Results Available","Heart Failure","Drug: Cenderitide","Safety and tolerability as assessed by changes in vital signs (blood pressure, heart rate, and body temperature), clinical laboratory tests, adverse events, 12-lead ECGs, and physical examinations compared to pre-dose, baseline measurements.|Pharmacokinetic (PK) profile of cenderitide as measured in area under the blood concentration-curve (AUC) from time zero to 48 hours post each infusion rate start, maximum blood concentration (Cmax), and time of maximum blood concentration (Tmax).|Pharmacodynamic (PD) response as assessed by changes in blood pressure, heart rate, weight, fluid balance (intake/output), plasma cGMP, ANP, NT-proBNP, and aldosterone, and urine cGMP compared to pre-dose baseline assessments.","Capricor Inc.","All","18 Years and older   (Adult, Older Adult)","Phase 2","14","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","CDNP-578-01","January 2015","April 2, 2015","April 2, 2015","February 9, 2015",,"February 11, 2020","Orange County Research Center, Tustin, California, United States",,"https://ClinicalTrials.gov/show/NCT02359227"
20,"NCT03222531","Expanding the Pool in Orthotopic Heart Transplantation",,"Recruiting","No Results Available","Hepatitis C|Heart Transplant|Cardiac Transplant","Drug: sofosbuvir/velpatasvir","Adverse Events|HCV free at 1 year|Transmission rate of HCV from HCVAb+/NAT- donors to HCVAb- recipients|Incidence of allograft rejection|Incidence of graft loss|All-cause mortality|Waitlist time after enrollment","University of Pittsburgh","All","18 Years to 71 Years   (Adult, Older Adult)","Phase 2","20","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Other","PRO17020069","August 1, 2017","July 1, 2023","July 1, 2023","July 19, 2017",,"October 14, 2019","UPMC, Pittsburgh, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT03222531"
21,"NCT01979965","Effect of Ranolazine on Valvular Disease in Patients With Pacemakers","REIN-MR","Unknown status","No Results Available","Ischemic Mitral Regurgitation","Drug: Ranolazine (Active drug)|Drug: Placebo","effective regurgitant orifice by echocardiography|proximal isovelocity surface area by echocardiography|Seattle Angina Questionnaire|Rose Dyspnea Scale","University Cardiology","All","18 Years and older   (Adult, Older Adult)","Phase 4","50","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Supportive Care","IN-US-259-0173","November 2013","May 2014","September 2014","November 8, 2013",,"November 8, 2013","University Cardiology, Knoxville, Tennessee, United States",,"https://ClinicalTrials.gov/show/NCT01979965"
22,"NCT02252783","BFPET for Regional Myocardial Perfusion Imaging",,"Not yet recruiting","No Results Available","Coronary Artery Disease","Drug: BFPET","Sensitivity and specificity of BFPET|Primary safety endpoints - ECG, physical examinations, vital signs, laboratory and adverse event assessments","Fluoropharma, Inc.","All","21 Years to 85 Years   (Adult, Older Adult)","Phase 2","40","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","BFPET P-02","October 1, 2018","May 30, 2019","September 30, 2019","September 30, 2014",,"August 1, 2018","Massachusetts General Hospital, Boston, Massachusetts, United States",,"https://ClinicalTrials.gov/show/NCT02252783"
23,"NCT02366091","Inflammation and Coronary Endothelial Function",,"Active, not recruiting","No Results Available","Coronary Artery Disease","Drug: Methotrexate|Drug: Colchicine|Drug: Placebo","Coronary segment endothelial function, measured by MRI as the change in coronary cross sectional area (CSA) from rest to that during isometric handgrip exercise (IHE) (as % rest and as mm2).|Change in coronary segment endothelial function, measured by MRI as the change in coronary cross sectional area (CSA) from rest to that during isometric handgrip exercise (IHE) (as % rest and as mm2).|Change in coronary blood velocity (CBV), measured by MRI as the change in CBV from rest to IHE stress (as cm/s and as % rest).|Change in coronary blood flow (CBF), measured by MRI as the change from rest to IHE stress (as cm/s and as % rest).|Serum high-sensitivity C reactive protein (hs-CRP), measured by laboratory assessment as the change in hs-CRP between baseline and 8 and 24 weeks.|Serum interleukin-6 (IL-6), measured by laboratory assessment as the change in IL-6 between baseline and 8 and 24 weeks..|Brachial flow mediated dilation (FMD), measured by ultrasound as the change in brachial FMD between baseline and 8 and 24 weeks.|Safety as determined by physical exam and monitoring laboratory values. Measured by assessment for side-effects and laboratory assessment including complete metabolic panel, liver function tests, and complete blood count.","Johns Hopkins University|National Heart, Lung, and Blood Institute (NHLBI)","All","21 Years and older   (Adult, Older Adult)","Phase 2","120","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Factorial Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Other","IRB00047206|R01HL120905","January 2015","August 2020","February 2021","February 19, 2015",,"September 12, 2019","Johns Hopkins Hospital, Baltimore, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT02366091"
24,"NCT02603614","Safety Study of Cenderitide in Chronic Stable Heart Failure With Moderate Renal Impairment",,"Completed","No Results Available","Heart Failure|Renal Insufficiency","Drug: Cenderitide|Drug: Placebo","Safety and tolerability as evaluated by incidence and severity of treatment-emergent adverse events, concomitant medications, and changes from baseline in lab assessments, vital signs, physical exams, and ECGs per subject and for the study as a whole.|Pharmacokinetics of cenderitide by assessing Cmax|Pharmacokinetics of cenderitide by assessing tmax|Pharmacokinetics of cenderitide by assessing AUC(0-discharge)|Pharmacodynamics as assessed by observed vital signs and changes from baseline.|Pharmacodynamics as assessed by observed weight and changes from baseline.|Pharmacodynamics as assessed by daily volume difference between liquid intake and urine output (i.e., daily fluid balance) and changes from baseline.|Pharmacodynamics as assessed by observed plasma cystatin C and changes from baseline.|Pharmacodynamics as assessed by observed plasma cGMP and changes from baseline.|Pharmacodynamics as assessed by observed urinary cGMP and changes from baseline.","Capricor Inc.","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","8","Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","CDNP-578-02","December 2015","March 31, 2016","March 31, 2016","November 13, 2015",,"February 11, 2020","Orange County Research Center, Tustin, California, United States",,"https://ClinicalTrials.gov/show/NCT02603614"
25,"NCT01170338","Safety and Efficacy of the Novel Selective Nicotinic Receptor Partial Agonist, CHANTIX (Varenicline) in Patients With Acute Coronary Syndrome",,"Unknown status","No Results Available","Smoking|Acute Coronary Syndrome","Drug: Varenicline 100 mg by mouth twice daily|Drug: control","nicotine levels|recurrent myocardial ischemia","Newark Beth Israel Medical Center","All","18 Years and older   (Adult, Older Adult)","Phase 4","100","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","2008.68","January 2008","July 2011",,"July 27, 2010",,"July 27, 2010","Newark Beth Israel Medical Center, Newark, New Jersey, United States",,"https://ClinicalTrials.gov/show/NCT01170338"
26,"NCT02674204","STOP Heart Disease in Breast Cancer Survivors Trial","STOP","Terminated","Has Results","Breast Cancer|Heart Disease|Cardiotoxicity|Myocardial Dysfunction","Drug: Atorvastatin|Drug: Placebo","Change in Global Circumferential Strain (GCS) Measured by Cardiac MRI (CMRI)|Change in Global Longitudinal Strain as Measured by CMRI|Change in Peak Left Ventricular Twist as Measured by CMRI|Change in Peak Left Ventricular Torsion as Measured by CMRI|Change in Left Ventricular Untwisting Rate as Measured by CMRI|Change in Left Ventricular Ejection Fraction as Measured by CMRI|Change in Left Ventricular End Diastolic Volume as Measured by CMRI|Change in Left Ventricular End Systolic Volume as Measured by CMRI|Change in Cardiac Output as Measured by CMRI|Change in Left Ventricular Mass as Measured by CMRI|Change in Left Ventricular Concentricity as Measured by CMRI|Change in Native T1 as Measured by CMRI|Change in Post Contrast T1 as Measured by CMRI|Change in Extracellular Volume as Measured by CMRI|Change in Native T2 as Measured by CMRI","Cedars-Sinai Medical Center|California Breast Cancer Research Program","Female","18 Years and older   (Adult, Older Adult)","Phase 2","2","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","IIT2015-12-Goodman-STOP","May 5, 2016","May 25, 2018","May 25, 2018","February 4, 2016","April 30, 2019","May 15, 2019","Cedars-Sinai Medical Center, Los Angeles, California, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/04/NCT02674204/Prot_SAP_000.pdf|""Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/04/NCT02674204/ICF_001.pdf","https://ClinicalTrials.gov/show/NCT02674204"
27,"NCT03168529","Trial Assessing the Effectiveness of Ivabradine Started at Discharge From the Observation Unit","OBSERVE-IVA","Recruiting","No Results Available","Heart Failure","Drug: Ivabradine|Drug: Placebo","Change in Heart Rate|Change in Heart Rate in self-identified African Americans","Phillip Levy|Amgen|iRhythm Technologies, Inc.|Wayne State University","All","19 Years to 89 Years   (Adult, Older Adult)","Phase 4","132","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","1701000235","July 1, 2018","December 31, 2019","June 30, 2020","May 30, 2017",,"October 4, 2018","Wayne State University, Detroit, Michigan, United States|Henry Ford Hospital, Detroit, Michigan, United States",,"https://ClinicalTrials.gov/show/NCT03168529"
